CoC-Code,Year,pct_change_homeless,pop_norm,rent_norm,funding_norm,extreme_poverty_rate,poverty_rate,vacancy_rate,homeless_rate,chronic_share,unsheltered_share,sheltered_share,ES_share,TH_share,SH_share
MA-504,2016,-11.338289962825277,0.04559964152381308,0.29296464823241164,0.0,0.07962931144623166,0.17648678535396925,0.07748187802032995,0.005253697413462682,0.07127882599580712,0.014675052410901468,0.9853249475890985,0.92,0.08,0.0
MA-504,2017,-3.1027253668763133,0.045668447897955225,0.3031151557577879,0.0,0.07475624160070032,0.1722530028527376,0.07448844474789482,0.005083019722820361,0.057118130679359586,0.02293379489398529,0.9770662051060147,0.9455270150575731,0.05137289636846767,0.003100088573959256
MA-504,2018,45.73777585460839,0.04565579154300353,0.30976548827441375,0.0,0.07400033001485067,0.17123370551674824,0.07483270895233174,0.007409933447005115,0.06116389548693587,0.013064133016627079,0.9869358669833729,0.9753309265944645,0.02256317689530686,0.00210589651022864
MA-504,2019,-27.464370546318296,0.045566493927511026,0.3171158557927896,0.0,0.07212170109956,0.16392437989930253,0.073161282324135,0.00538537505841688,0.08186655751125665,0.017191977077363897,0.9828080229226361,0.9471053727613494,0.04997917534360683,0.0029154518950437317
MA-504,2020,-7.613589848546864,0.04541783198045939,0.32201610080504023,0.018147328767200866,0.06661196578172135,0.15727536513946513,0.06825045298973223,0.004991640053432886,0.061586176340274704,0.0460788657509969,0.9539211342490032,0.9433348815606131,0.0538783093358105,0.002786809103576405
MA-504,2021,-0.3987594151528606,0.04540899262144551,0.34126706335316764,0.01890145211991138,0.06816452392118,0.15868409177380394,0.06758530183727034,0.004972703221639223,0.04848754448398576,0.013345195729537367,0.9866548042704626,0.9404869251577999,0.0563570784490532,0.0031559963931469793
MA-504,2022,2.0462633451957313,0.04539111300889471,0.367868393419671,0.027758025457120354,0.06734824846754742,0.15767554050764568,0.06893382819600218,0.0050764566598065905,0.1068003487358326,0.04838709677419355,0.9516129032258065,0.9468621163536418,0.049473202015574896,0.0036646816307833257
MA-504,2023,16.957279860505658,0.04524677029408849,0.38676933846692335,0.02970388645700239,0.07051790086868108,0.15714625055222187,0.06588408295725369,0.005956226287759212,0.13976891539321654,0.04286246738725308,0.9571375326127469,0.956386292834891,0.040498442367601244,0.003115264797507788
MA-504,2024,12.486023108460675,0.04525269668251825,0.3976198809940497,0.0323252991326792,0.07556069538658237,0.1633918741343183,0.06639978541532762,0.006699044642540043,0.1265738899933731,0.05864811133200795,0.941351888667992,0.9524815205913411,0.04505455825413587,0.0024639211545230554
ME-500,2014,0.0,0.015233965612013949,0.2646132306615331,0.005961824410140961,0.3197903662546375,0.13429263446626694,0.17549587128628585,0.017974258435461465,0.08950843727072634,0.03411592076302274,0.9658840792369773,0.42043296619825293,0.5753892897835169,0.004177744018230156
